,Unnamed: 0,Height,Width,Area,Perimeter,A/P,A/(A+P),A/(W*H),Diameter,Label
2002,134,69.9714227381436,29.154759474226502,1577.0,177.13708424568176,8.902709484665374,0.8990175364077349,0.7730392156862746,44.809583372838354,0
2003,135,73.37574531137656,25.0,1403.5,174.6101714372635,8.037905171545349,0.8893548913139332,0.7651029609548069,42.2728246162449,0
2004,136,82.0,24.0,1558.0,189.39696872234344,8.226108424596982,0.8916119392945805,0.7916666666666666,44.53882812442851,0
2005,137,68.62215385719105,21.93171219946131,1173.5,161.23758924007416,7.278079544173296,0.879199034671771,0.7797335307705773,38.65419260244241,0
2006,138,67.08203932499369,25.317977802344327,1387.5,165.63960886001587,8.376619635540155,0.8933517580035235,0.8169542193831076,42.03117733682984,0
2007,139,91.13725912051558,26.019223662515373,1741.0,206.71067655086517,8.42239998944415,0.893869926863613,0.7341900143136356,47.08195033538775,0
2008,140,74.67261881037787,25.317977802344327,1497.5,178.12489032745358,8.407022720109975,0.8936964404410082,0.7920934713969131,43.665503755721254,0
2009,141,89.14033879226619,22.02271554554524,1586.5,201.63960945606232,7.867997782180298,0.8872349740536202,0.8081554885641551,44.944349341405925,0
2010,142,83.0,24.020824298928627,1555.5,189.63960921764374,8.202400365710512,0.8913327001370049,0.7801965337325069,44.50307980168952,0
2011,143,73.40980860893181,30.463092423455638,1739.0,183.68123912811282,9.467488395954764,0.9044660990131638,0.7776273057714901,47.05489951423176,0
2012,144,85.23496934944014,26.925824035672523,1738.0,199.9655100107193,8.691498848510593,0.8968167859656009,0.757291285994546,47.04136827038211,0
2013,145,88.60022573334675,26.248809496813372,1762.5,206.26702570915225,8.544749185869492,0.8952303533045741,0.7578524977987774,47.37177110469614,0
2014,146,78.0,26.0,1568.0,183.05382239818573,8.565786714845133,0.8954607676493455,0.7731755424063116,44.681535404960464,0
2015,147,77.4919350642375,27.202941017470888,1598.0,184.1665199995041,8.67692998708073,0.8966614410422459,0.7580614454471846,45.1069483836669,0
2016,148,90.2551937563706,25.317977802344327,1682.0,206.36753129959104,8.150506959150375,0.8907164374100591,0.7360795866738324,46.27730452656619,0
2017,149,78.23681997627459,25.806975801127876,1503.0,183.13708209991452,8.206967058588411,0.8913865995569971,0.7444073906418337,43.745617331761935,0
2018,150,72.2357252334328,26.0,1450.0,178.5096664428711,8.12280941919774,0.8903846442417581,0.7720450038953737,42.96739856991561,0
2019,151,86.03487664894976,26.570660511172854,1752.0,201.68123888969419,8.686975593987816,0.8967686054024285,0.7664030262146634,47.23045291309417,0
2020,152,84.07734534343956,25.495097567963924,1581.0,195.480229139328,8.087774436120322,0.8899620575940579,0.7375580387009981,44.86637627696593,0
2021,153,87.68124086713188,25.45584412271571,1764.5,202.00714194774628,8.734839684313874,0.8972761717266553,0.7905465949820788,47.39864108479477,0
2022,154,78.23042886243178,28.30194339616981,1649.5,187.7228693962097,8.786888913990277,0.8978224838568968,0.7450069955708111,45.828033222479135,0
2023,155,82.3468275041607,25.079872407968914,1578.5,193.72287011146545,8.148237733065553,0.8906893295540864,0.7643150148509464,44.8308891431394,0
2024,156,91.52595260361949,25.238858928247925,1714.0,212.9360717535019,8.04936423352523,0.8894949994061135,0.7419879352593314,46.71544262528258,0
2025,157,77.69813382572325,26.0768096208106,1471.0,209.2792174816132,7.028887137965523,0.8754497375767827,0.7260184016292106,43.277423332557866,0
2026,158,89.8276126811795,24.75883680627989,1727.0,207.76449954509732,8.312295910905306,0.8926150962590295,0.7765192789077746,46.89226688653072,0
2027,159,79.2464510246358,26.90724809414742,1784.5,191.52185928821564,9.317474290569402,0.9030770543412896,0.8368882056091825,47.66650781817248,0
2028,160,84.5931439302264,28.16025568065745,1720.0,199.19595789909363,8.634713365375102,0.8962086403531458,0.7220324017514258,46.797136845585754,0
2029,161,82.0,28.0,1783.0,190.7106771469116,9.349240570450537,0.9033745526357528,0.7765679442508711,47.64647005039088,0
2030,162,76.11832893594027,27.29468812791236,1473.5,174.95331752300262,8.422246693357307,0.8938682001708784,0.7092229136331057,43.31418323329279,0
2031,163,78.81624198095213,23.60084744241189,1455.5,185.8650039434433,7.830952406957111,0.8867619307729265,0.7824721494861235,43.048811335065096,0
2032,164,77.78174593052024,27.586228448267445,1700.0,185.2792177200317,9.175340984917176,0.9017231951752483,0.7922803881333883,46.52426491681278,0
2033,165,73.0,29.0,1661.5,181.2964630126953,9.164547241518182,0.9016188349329134,0.7848370335380255,45.994429049369366,0
2034,166,72.0,31.0,1784.0,183.8822498321533,9.701860846429847,0.9065583066020148,0.7992831541218638,47.65982949830529,0
2035,167,87.96590248499699,22.36067977499789,1510.5,198.1248908042908,7.62397896532891,0.8840442440756973,0.7679295237355167,43.85462726238205,0
2036,168,74.33034373659251,21.633307652783934,1193.0,171.48022854328156,6.957070270634071,0.8743256040240658,0.7419102581239619,38.97402695217738,0
2037,169,67.72001181334805,19.6468827043885,1017.5,157.29646360874173,6.468676896201067,0.8661074760766999,0.7647574921597916,35.99334989644654,0
2038,170,68.6804193347711,22.803508501982762,1246.0,163.19595730304718,7.634993051244749,0.8841921476872702,0.7955792223179504,39.8303461288,0
2039,171,66.09841147864296,25.29822128134704,1281.0,163.1959586143494,7.849459085118332,0.8869987430438944,0.7660694092445346,40.385886851791966,0
2040,172,67.88225099390856,21.213203435596427,1132.5,158.06601572036743,7.164727945085244,0.8775219447940149,0.7864583333333334,37.97293489332332,0
2041,173,78.5175139698144,20.09975124224178,1181.5,178.46803605556488,6.620233102313893,0.8687704186245498,0.7486459904251864,38.785725751938614,0
2042,174,68.26419266350405,22.47220505424423,1156.0,161.33809387683868,7.165077832656561,0.8775271931884765,0.7535623411033794,38.36489168124743,0
2043,175,68.59300255857006,22.203603311174522,1106.5,160.32590150833133,6.901567305033996,0.8734428295810489,0.7265209543289017,37.534511536044505,0
2044,176,73.0616178304313,20.02498439450079,1117.0,164.91168737411502,6.7733222416553085,0.8713548764720896,0.7634695176855808,37.712180677722365,0
2045,177,76.16429609731846,19.02629759044045,1104.0,169.74011445045468,6.504060655162605,0.8667388170280813,0.7618392703766351,37.492085263260826,0
2046,178,71.21797525905944,23.430749027719962,1256.5,167.7228685617447,7.491524624964532,0.8822355178644757,0.752985647469288,39.997818540012055,0
2047,179,67.7421582177598,21.095023109728988,1165.5,160.7523070573807,7.250284747602246,0.8787920622629871,0.8155925376832708,38.52221033882703,0
2048,180,68.0,19.0,1016.0,155.25483298301697,6.544079694518357,0.8674457269152902,0.7863777089783281,35.96680938658481,0
2049,181,71.11258679024411,20.12461179749811,1113.0,164.85281264781955,6.751477163921603,0.8709923310289309,0.7777162544603442,37.644596070222825,0
2050,182,64.53681120105021,24.515301344262525,1234.0,157.88224935531616,7.815951476741798,0.8865692486354768,0.7799565701818056,39.63808267566925,0
2051,183,58.0,23.0,1102.5,146.32590126991272,7.534551234140898,0.8828292229356262,0.8264617691154422,37.466606439208185,0
2052,184,68.24221567329127,23.021728866442675,1231.5,162.40916097164154,7.582700339268631,0.8834865531277287,0.7838687705037123,39.597910290081636,0
2053,185,75.0,20.0,1162.0,168.91168749332428,6.879334504582015,0.8730857283164616,0.7746666666666666,38.46432569254606,0
2054,186,70.71067811865477,23.3452350598575,1326.0,168.79393756389618,7.85573237485528,0.887078791716948,0.8032676385131974,41.08911822269767,0
2055,187,76.1577310586391,21.587033144922906,1145.0,173.88224947452545,6.584915961578631,0.8681593830352904,0.6964637734840485,38.18192345497751,0
2056,188,79.71198153351854,25.632011235952593,1571.5,189.58073353767395,8.289344442734249,0.8923497770844142,0.7691447771515476,44.731375393020365,0
2057,189,80.75270893288967,22.203603311174522,1343.5,183.2964631319046,7.329655886666972,0.8799470213888824,0.7493023782441134,41.35936808453064,0
2058,190,78.64477096412705,20.396078054371138,1200.0,177.88224971294403,6.74603566087392,0.870901704590503,0.7481087403546777,39.0882009522336,0
2059,191,70.71067811865477,20.518284528683196,1139.5,164.5512979030609,6.9248922039575325,0.8738153183332109,0.7853952663885606,38.0901097560209,0
2060,192,84.48076704197234,22.13594362117865,1415.0,193.68123948574063,7.305818590159199,0.8796024751630371,0.7566596086750461,42.4456588569462,0
2061,193,77.52418977325722,25.553864678361283,1477.0,182.6518017053604,8.086424476570896,0.8899457093845359,0.7455669853685708,43.365594744841616,0
2062,194,75.21303078589506,26.627053911388696,1514.0,181.96550965309143,8.320258069160298,0.8927068335898456,0.7559788896466871,43.9054059396908,0
2063,195,73.0,22.0,1248.0,167.7401143312454,7.440080776000352,0.8815177216261326,0.7770859277708593,39.862299881335026,0
2064,196,68.79680225126747,26.0768096208106,1488.5,176.06601428985596,8.454215346463716,0.8942270761397408,0.8297096293296671,43.534090806381734,0
2065,197,75.45197147855052,24.413111231467404,1522.0,181.96550905704498,8.364222472088723,0.8932105678842392,0.8262679944581965,44.02125153930675,0
2066,198,77.0,27.0,1684.0,190.2253954410553,8.852656061486899,0.8985045257076509,0.8100048100048101,46.30480961340857,0
2067,199,71.21797525905944,24.839484696748446,1257.5,165.7228685617447,7.587969064942193,0.8835580342176359,0.7108464342880272,40.0137317367984,0
2068,200,73.66138744281159,25.495097567963924,1507.5,176.20815181732178,8.555222811501098,0.8953451929141459,0.8027138341654019,43.811055838546714,0
2069,201,74.21590126111789,23.53720459187964,1293.0,174.3675308227539,7.415371393395171,0.8811698315792869,0.7401959026372192,40.57460697705604,0
2070,202,74.73285756613352,24.738633753705958,1460.0,180.36753058433533,8.094583294842753,0.8900444399066565,0.7897062151002096,43.115307436145436,0
2071,203,77.1621668954417,22.09072203437452,1283.5,173.98275458812714,7.3771679442508855,0.8806279154655979,0.7529767159275896,40.425276197789685,0
2072,204,73.348483283569,21.93171219946131,1262.0,172.50966668128967,7.315532075843238,0.8797431131430522,0.7845049331707097,40.08526294607253,0
2073,205,76.41989269817121,24.75883680627989,1434.5,178.55129730701447,8.034105725557476,0.889308357641753,0.7581652793611993,42.737128201630384,0
2074,206,74.81310045707234,28.284271247461906,1583.5,179.63960921764374,8.814871101626025,0.8981137918526173,0.7483339021963019,44.90183536436046,0
2075,207,65.11528238439882,28.442925306655784,1421.0,160.3675316572189,8.860895876587707,0.8985893358458175,0.7672499853740243,42.53555445822549,0
2076,208,68.09552114493287,24.698178070456933,1333.0,166.5096663236618,8.005541236320251,0.8889572571199941,0.7925865240322181,41.19743090451117,0
2077,209,74.3236167042482,28.23118842698621,1606.0,182.50966596603396,8.799533939746981,0.8979543306703605,0.7654019164396549,45.21971593060566,0
2078,210,73.54590403278758,31.57530680769389,1284.0,225.96551048755646,5.682283093687909,0.8503505484608096,0.5529157407184153,40.43314946229083,0
2079,211,50.20956084253278,19.798989873223327,704.5,129.9238793849945,5.422405822046027,0.8442951087632417,0.7086822267465325,29.949912508485266,1
2080,212,106.0,19.0,1563.0,228.91168701648712,6.827960688120857,0.8722528076159699,0.7760675273088381,44.61023882945551,0
2081,213,85.7962703152066,27.65863337187866,1687.5,209.1787136793137,8.067264447313992,0.8897131537509936,0.7111228849150018,46.35290424278274,0
2082,214,73.53910524340094,25.45584412271571,1521.0,176.4507923126221,8.619966961129922,0.8960495390430588,0.8125,44.006787516725,0
2083,215,74.94664769020694,24.698178070456933,1509.5,182.5512957572937,8.268908712688166,0.8921124340526619,0.8154850203959128,43.84010826603565,0
2084,216,76.55063683601854,26.570660511172854,1635.5,187.09545266628263,8.741527261580211,0.8973466918330231,0.8040802405903735,45.63313790891832,0
2085,217,71.7007670809734,21.2602916254693,1191.0,167.13708233833313,7.125887225846603,0.8769365150897951,0.7813016511940319,38.94134432424719,0
2086,218,80.05623023850173,19.313207915827967,1215.0,183.33809340000155,6.627100661231103,0.8688885797609772,0.7858266013977483,39.33174350131485,0
2087,219,75.21303078589506,26.40075756488817,1504.5,178.89444196224213,8.40998738416671,0.8937299319144035,0.7576745743354939,43.767441038448354,0
2088,220,79.20227269466452,24.166091947189145,1479.0,184.9949470758438,7.994812957748747,0.8888248144016678,0.7727234759801023,43.394945404543435,0
2089,221,67.53517601961218,27.29468812791236,1376.0,166.5096663236618,8.263784502007999,0.8920527566478644,0.746466395528979,41.85663165563593,0
2090,222,74.67261881037787,27.513632984395212,1618.0,182.8528130054474,8.848647026019764,0.8984632104939859,0.7875337868072536,45.38834193249951,0
2091,223,77.79460135510689,28.46049894151541,1678.5,185.09545278549197,9.068294086863506,0.9006783084231976,0.7581050270176456,46.22913124684446,0
2092,224,77.98717843338096,25.495097567963924,1430.0,179.9655088186264,7.945967032167195,0.8882177861371185,0.7192107186879926,42.67004275802032,0
2093,225,79.51100552753688,24.20743687382041,1495.0,187.2792185544968,7.982733009775813,0.8886753064004339,0.7767211639691891,43.62903986313552,0
2094,226,74.33034373659251,22.67156809750927,1271.5,172.2081514596939,7.383506467158148,0.8807181691912046,0.7545163650680838,40.235855665447936,0
2095,227,79.20227269466452,24.20743687382041,1483.5,185.37972271442413,8.002493359456142,0.8889196625788556,0.7737507782979753,43.46091191650969,0
2096,228,83.35466393669883,24.186773244895647,1499.0,191.48022878170013,7.828484483946157,0.8867302760945648,0.7435219513348444,43.68736748258024,0
2097,229,107.01868995647442,36.013886210738214,1687.0,301.5634887218476,5.594178549764805,0.8483510883951321,0.4377089875939196,46.34603663710868,0
2098,230,69.29646455628165,24.041630560342607,1311.0,169.96551024913788,7.713329593035183,0.8852333095721148,0.7869147659063626,40.85605271129112,0
2099,231,70.83784299369934,24.35159132377184,1300.5,168.6101716756821,7.713057801171587,0.8852297295829328,0.7539068361633449,40.69211260094613,0
2100,232,69.46221994724903,18.867962264113206,922.5,157.9238798618317,5.8414218344122455,0.8538315537027675,0.7038704241301704,34.27190511217881,0
2101,233,66.94027188471824,17.464249196572982,852.5,183.43859851360318,4.647331624357026,0.8229252208800728,0.7292173549029309,32.94596654959035,0
2102,234,69.07966415668217,25.632011235952593,1342.5,171.4385986328125,7.83079196112288,0.8867598733610247,0.7581958309969872,41.34397282321761,0
2103,235,69.72087205421343,22.203603311174522,1140.0,161.88224935531616,7.042155668950511,0.8756552296219731,0.7364081412914043,38.09846559899868,0
2104,236,70.71067811865477,20.518284528683196,1185.0,164.79394042491913,7.190798380962869,0.8779117793542313,0.8167559374027594,38.843131445741705,0
2105,237,79.92496481075234,21.633307652783934,1351.0,185.96550977230072,7.264787979524735,0.8790047606209125,0.7813578303044676,41.47465038957176,0
2106,238,71.69379331573968,23.769728648009423,1286.5,171.5807349681854,7.497928017609572,0.8823242562271909,0.7549253467671408,40.472492810571815,0
2107,239,66.2872536767062,23.53720459187964,1210.5,156.46803641319275,7.736404365702997,0.8855364337386034,0.7758537884730358,39.258839372833144,0
2108,240,72.18032973047436,23.3452350598575,1240.5,172.89444231987,7.17489806702384,0.8776743157160783,0.7361726112660901,39.74234083749936,0
2109,241,70.7248188403477,23.853720883753127,1346.5,174.89444279670715,7.698929585573723,0.8850433274389993,0.7981387212156044,41.4055195231976,0
2110,242,75.27283706623524,23.08679276123039,1334.5,176.2670258283615,7.570899853381867,0.8833261364493222,0.7679212551611062,41.22060373707637,0
2111,243,72.80109889280519,23.60084744241189,1317.5,173.7228696346283,7.58391801131854,0.8835030811476269,0.7668052744461249,40.9572106006815,0
2112,244,76.1577310586391,21.54065922853801,1126.5,176.75230693817142,6.373325584904834,0.8643759876754572,0.6866860250057291,37.87221075068315,0
2113,245,70.178344238091,23.430749027719962,1329.0,165.48022925853732,8.03117088944591,0.8892723864666731,0.8082313486599272,41.135572865258986,0
2114,246,72.12489168102785,24.041630560342607,1308.0,171.1959580183029,7.640367302714933,0.8842641794075369,0.7543252595155708,40.809279882320794,0
2115,247,74.88658090739622,21.633307652783934,1245.5,175.72286891937256,7.087865157559409,0.8763579782156309,0.7688060687099324,39.82235368442761,0
2116,248,66.94027188471824,23.769728648009423,1097.5,158.12488996982574,6.9407162920994345,0.8740667764449734,0.6897517849841082,37.381551604325374,0
2117,249,76.69419795525604,21.54065922853801,1133.0,175.68123877048492,6.449180390173503,0.8657570433763239,0.6858172579017793,37.98131651463571,0
2118,250,69.2314957226839,24.515301344262525,1341.0,167.88224983215332,7.987741416026506,0.8887373419292139,0.790110489190484,41.32086917635994,0
2119,251,70.60453243241541,22.02271554554524,1088.0,165.82337439060208,6.561198045802532,0.8677458262642476,0.6997218645528401,37.219411933450225,0
2120,252,71.16881339463234,26.570660511172854,1389.5,169.09545278549194,8.217252309928563,0.8915077979450743,0.7347954793301074,42.06145916881045,0
2121,253,85.58621384311844,21.95449840010015,1458.5,197.37972366809845,7.389310172773995,0.8808006880893114,0.7762097610768983,43.093153470084246,0
2122,254,83.02409288875127,25.019992006393608,1473.5,193.296462893486,7.623005501202352,0.8840311536551189,0.7093471600584211,43.31418323329279,0
2123,255,83.7615663654877,23.853720883753127,1533.0,193.62236368656158,7.9174738434742,0.887860618651346,0.7672576573964794,44.180043255739406,0
2124,256,74.95331880577403,27.65863337187866,1532.0,179.53910386562347,8.532960046111345,0.8951007876710952,0.7389876496315544,44.165631236678465,0
2125,257,75.59100475585703,26.41968962724581,1582.5,184.40916109085083,8.581460870159088,0.8956317816717863,0.7924025954308357,44.88765509071949,0
2126,258,89.05054744357273,23.53720459187964,1635.5,201.7817440032959,8.105292220951789,0.8901737609586057,0.7802954462993541,45.63313790891832,0
2127,259,89.0,22.0,1540.0,201.39696848392487,7.646589775371519,0.8843474680794564,0.7865168539325843,44.280796050795544,0
2128,260,78.44743462982075,21.840329667841555,1295.5,180.6101713180542,7.172907209741951,0.8776445181210404,0.7561352449371284,40.613813293070656,0
2129,261,79.40403012442127,24.698178070456933,1428.5,189.72286903858185,7.529403319899732,0.8827585046111108,0.7284047710475152,42.647657493163436,0
2130,262,87.46427842267951,26.1725046566048,1598.0,206.8528118133545,7.7252998689807155,0.8853907584821128,0.6980728889686646,45.1069483836669,0
2131,263,80.00624975587844,25.29822128134704,1576.0,190.5096664428711,8.27254610974085,0.8921547557526303,0.7786500441578293,44.79537389622522,0
2132,264,86.45229898620394,24.186773244895647,1704.5,202.20815086364743,8.429432704467855,0.8939490814196935,0.8151593714550178,46.58580045465662,0
2133,265,81.34494452638098,25.632011235952593,1531.5,189.92388021945956,8.06375690213538,0.8896704743080207,0.7345202088649441,44.15842346327484,0
2134,266,81.15417426109394,28.0178514522438,1785.5,194.1248905658722,9.197687091002523,0.9019385483123614,0.7852612426920339,47.67986165169351,0
2135,267,88.95504482602435,25.317977802344327,1737.5,205.4385991096497,8.457514836696467,0.8942639776656907,0.7714809660590912,47.034601188671154,0
2136,268,80.7093550959243,23.853720883753127,1518.5,191.86500453948972,7.914418805267125,0.887822187644006,0.7887416705531395,43.97060664444311,0
